source;target;fold_1;fold_2;fold_3;fold_4;fold_5;mean;std
imagenet;isic;0.9474350924801827;0.9514369770145286;0.9486999253446465;0.9417956912688804;0.9423226920931363;0.946338075640275;0.0037292663086877383
imagenet;chest;0.9883225413691958;0.9865460063661264;0.9869050262787771;0.9886597861981841;0.9832297815438944;0.9867326283512355;0.0019274981368697407
imagenet;pcam-middle;0.9610366576866415;0.9601092413270169;0.9613896689137595;0.9616398101652088;0.9608567920026736;0.96100643401906;0.0005246513617311015
stl10;isic;0.8949797195858407;0.9051003314403164;0.8992159013618694;0.897700201830558;0.9005541306253424;0.8995100569687853;0.0033534256637988186
stl10;chest;0.9714409578098769;0.9677881412391738;0.9680028129395217;0.9657392563479341;0.9627619884898676;0.9671466313652749;0.0028562779627862847
stl10;pcam-middle;0.9009466426987771;0.9093156153274544;0.9026482627153543;0.8989177508073912;0.9048646557748636;0.9033385854647682;0.0035719879992183214
sti10;isic;0.9117907487036524;0.9105108145776374;0.916898261480384;0.8930600308736991;0.9086659688745633;0.9081851649019871;0.008041489722469031
sti10;chest;0.9477207740697696;0.9553445850914206;0.9651713672366571;0.9536953582694908;0.962333498326672;0.956853116598802;0.006242990671145012
sti10;pcam-middle;0.8790690717784262;0.8852126501511487;0.8872026002538685;0.8836331538733165;0.8773671535418511;0.8824969259197222;0.00371144962691127
textures;isic;0.902872148761106;0.9124648720222497;0.911173796792238;0.9043631237180402;0.9047843483445556;0.907131657927638;0.00390128495416545
textures;chest;0.9800210304942166;0.9823414020282775;0.9800133244503664;0.9813495962588376;0.9842640681447115;0.9815978842752819;0.0015950109528985673
textures;pcam-middle;0.922553038835605;0.9231115886884246;0.9229110801514538;0.9195510176526067;0.9207283674438567;0.9217710185543894;0.0013945572624895586
isic;isic;0.8795637724254185;0.8778258244698117;0.8895403836517624;0.8708202408147496;0.883535268919952;0.8802570980563388;0.006202771347364186
isic;chest;0.9178999022266496;0.9147568287808128;0.9160596639277518;0.9100909433432576;0.9109885563575382;0.9139591789272019;0.002978772486565552
isic;pcam-middle;0.847759954485597;0.8504440718334272;0.8449605451040156;0.8449572137307628;0.8416223826722528;0.8459488335652111;0.002972054083763529
chest;isic;0.9089283472108005;0.9215038106053868;0.9124768170729984;0.9097539172542949;0.9071954793045368;0.9119716742896035;0.005061800400764592
chest;chest;nan;nan;;;;;
chest;pcam-middle;0.8112203249265317;0.8142061725968845;0.8118229555569361;0.8070763819539807;0.8163783783205395;0.8121408426709745;0.0031247228220523207
pcam-middle;isic;0.9343417108244263;0.9171075712503851;0.9365868532230747;0.9322357654040099;0.9181136205669025;0.9276771042537597;0.008339751160064553
pcam-middle;chest;0.9627649565554264;0.9563383670145829;0.9590236138870383;0.966463256968506;0.9631313765615881;0.9615443141974284;0.0035117103759958854
pcam-middle;pcam-middle;nan;nan;;;;;
pcam-small;isic;0.9186540694038309;0.9202925367069008;0.9293588632096451;0.8990248668567546;0.888515020054196;0.9111690712462656;0.015038743875525716
pcam-small;chest;0.9567435940007747;0.9590347175956768;0.9426493448811903;0.9385947738975615;0.9479532206945973;0.9489951302139602;0.007878502196418925
pcam-small;pcam-middle;nan;nan;;;;;
kimia;isic;nan;nan;;;;;
kimia;chest;nan;nan;;;;;
kimia;pcam-middle;0.881556040648557;0.902520870468155;0.8887113368679824;0.8994660800248052;0.886922204162252;0.8918353064343505;0.007899000559463156
