,source,target,fold_1,fold_2,fold_3,fold_4,fold_5,mean,std,score_1,distance_1,score_2,distance_2,score_3,distance_3,score_4,distance_4,score_5,distance_5
0,imagenet,isic,0.9474350924801828,0.9514369770145286,0.9486999253446464,0.9417956912688804,0.9423226920931363,0.9463380756402751,0.0037292663086877374,7.716475164456517,,8.385621668077084,,6.650574024533985,,8.1504134983961,,6.653658913361434,
1,imagenet,chest,0.9883225413691958,0.9865460063661264,0.9869050262787772,0.988659786198184,0.9832297815438944,0.9867326283512357,0.0019274981368697407,4.224097177774723,,2.357865632380338,,2.4442907637928477,,2.6076688927566414,,2.430520814894067,
2,imagenet,pcam-middle,0.9610366576866416,0.9601092413270168,0.9613896689137597,0.9616398101652088,0.9608567920026736,0.9610064340190599,0.0005246513617311015,5.839370968436242,,4.245523922620361,,4.981667872122795,,5.152045232988123,,5.516505746433715,
3,stl10,isic,0.8949797195858407,0.9051003314403164,0.8992159013618694,0.897700201830558,0.9005541306253424,0.8995100569687853,0.003353425663798818,1.7526810043474519,,3.1070522431916303,,1.0876985337514222,,3.086740495450491,,1.9262232424738956,
4,stl10,chest,0.9714409578098768,0.9677881412391738,0.9680028129395216,0.965739256347934,0.9627619884898676,0.9671466313652748,0.002856277962786285,2.443840498650853,,0.41166644265661206,,0.48217304441369085,,0.22887067465095223,,0.2982352171537177,
5,stl10,pcam-middle,0.9009466426987772,0.9093156153274544,0.9026482627153544,0.8989177508073912,0.9048646557748636,0.9033385854647682,0.003571987999218321,-0.7783676338650185,,-1.2694820020549462,,-1.4327663528986325,,-1.7063988049789898,,-0.6322716917970279,
6,sti10,isic,0.9117907487036524,0.9105108145776374,0.916898261480384,0.8930600308736991,0.9086659688745632,0.9081851649019872,0.008041489722469031,3.6639726747006907,,3.7234026610651045,,3.0755071193408257,,2.5538898864066004,,2.8443346676280763,
7,sti10,chest,0.9477207740697696,0.9553445850914206,0.9651713672366572,0.9536953582694908,0.962333498326672,0.956853116598802,0.0062429906711450114,-0.057584523770131756,,-0.8793993970929895,,0.18825879821732175,,-1.021100572751724,,0.2535961394894271,
8,sti10,pcam-middle,0.8790690717784262,0.8852126501511487,0.8872026002538685,0.8836331538733165,0.8773671535418511,0.8824969259197222,0.00371144962691127,-3.187753712957027,,-3.886503195830597,,-3.119399212630429,,-3.3777175369933152,,-3.65191038981246,
9,textures,isic,0.902872148761106,0.9124648720222496,0.9111737967922379,0.9043631237180402,0.9047843483445556,0.907131657927638,0.00390128495416545,2.649992765324347,,3.946004615819899,,2.431976505851877,,3.851872215545591,,2.405006361611206,
