,embedding,name
0,"[1.5775437e-05 1.1059596e-05 4.6287929e-07 ... 1.7629244e-08 3.1955995e-08
 4.6477613e-09]",embedding_stl10_subset40
1,"[2.19047826e-04 3.07433045e-04 1.72120912e-04 ... 1.30954225e-08
 4.10270957e-07 7.49628612e-07]",embedding_pcam-small_subset31
2,"[2.7274823e-06 2.0658181e-06 8.9254280e-07 ... 1.0194014e-08 8.3129335e-09
 4.9629798e-09]",embedding_textures_subset87
3,"[2.4768960e-05 2.6957850e-05 2.3272175e-06 ... 3.4063998e-08 5.5913251e-08
 4.3280398e-08]",embedding_sti10_subset11
4,"[2.4083555e-04 3.3777632e-04 1.8492654e-04 ... 5.1903487e-07 3.7309289e-07
 1.5719716e-06]",embedding_pcam-middle_subset27
5,"[8.7330007e-04 9.9723511e-05 1.4403784e-05 ... 1.2317120e-07 1.2585659e-06
 1.2401435e-06]",embedding_isic_subset60
6,"[9.9477801e-04 1.9223576e-03 1.1094839e-04 ... 2.2064322e-08 9.1606353e-07
 1.8373694e-06]",embedding_chest_subset11
7,"[5.76040882e-04 1.17347976e-04 7.89141086e-06 ... 3.34778946e-07
 1.60756798e-07 2.00634489e-07]",embedding_isic_subset87
8,"[1.9579054e-06 2.6646040e-07 4.1391448e-07 ... 2.6159037e-09 6.0903096e-09
 3.9091280e-10]",embedding_kimia_subset57
9,"[4.8812803e-06 1.0274311e-05 9.8066323e-07 ... 2.1365603e-08 1.8249148e-08
 5.9136349e-09]",embedding_textures_subset60
10,"[1.5216711e-04 1.9381828e-04 1.2715052e-04 ... 1.3101684e-06 1.2093841e-06
 1.0728832e-06]",embedding_pcam-small_subset50
11,"[2.8467395e-05 1.1137071e-05 8.7958824e-07 ... 7.0621589e-09 1.7961286e-08
 4.0369038e-08]",embedding_stl10_subset21
12,"[2.8606159e-05 1.8078634e-05 2.4878370e-06 ... 2.1736719e-08 2.3135383e-08
 4.3460137e-08]",embedding_sti10_subset70
13,"[2.8802815e-04 4.0509552e-04 2.2077920e-04 ... 3.4801627e-07 4.4451923e-08
 2.8434219e-08]",embedding_pcam-middle_subset46
14,"[3.4483054e-04 1.3958700e-03 1.0311743e-04 ... 8.4633052e-07 7.5505761e-07
 2.5333936e-06]",embedding_chest_subset97
15,"[6.7490805e-04 1.7317091e-03 6.4108055e-05 ... 1.5867860e-06 3.4869689e-07
 3.2599790e-08]",embedding_chest_subset70
16,"[1.4267688e-06 6.5976423e-07 3.7734804e-07 ... 1.2547828e-09 7.9308515e-09
 2.4971534e-09]",embedding_kimia_subset36
17,"[1.8463485e-05 1.8046574e-05 2.0554437e-06 ... 3.5539841e-08 4.5653429e-08
 2.9505941e-08]",embedding_sti10_subset97
18,"[1.6509227e-06 8.5664860e-06 1.5039843e-06 ... 1.2195216e-08 1.0145530e-08
 7.6049655e-09]",embedding_textures_subset45
19,"[2.0828926e-05 5.7878101e-06 7.1657490e-07 ... 1.0635753e-08 6.6258417e-09
 1.6138456e-08]",embedding_stl10_subset82
20,"[3.8347689e-06 4.8188150e-07 4.7955255e-06 ... 6.4769576e-09 3.2685559e-08
 6.5215029e-09]",embedding_kimia_subset72
21,"[1.0975415e-03 2.0150184e-03 9.0056463e-05 ... 1.3200020e-06 7.4631077e-07
 4.8749644e-06]",embedding_chest_subset34
22,"[3.0152867e-06 1.1059628e-06 7.0303372e-07 ... 3.6030514e-09 5.3917555e-09
 1.0028189e-08]",embedding_kimia_subset19
23,"[1.6204448e-04 1.5506534e-04 6.9265967e-05 ... 1.1487720e-06 2.0168034e-08
 2.1845313e-08]",embedding_pcam-small_subset98
24,"[1.5909868e-04 2.6812570e-04 1.2899876e-04 ... 6.5929078e-07 7.4144467e-08
 1.2207138e-07]",embedding_pcam-small_subset8
25,"[3.6942126e-06 2.7842743e-06 9.1255032e-07 ... 1.0027272e-08 1.0108220e-08
 1.5367638e-08]",embedding_textures_subset7
26,"[8.6652552e-04 9.6298158e-05 1.6119266e-05 ... 7.6287921e-07 8.4439726e-08
 1.5942037e-06]",embedding_isic_subset45
27,"[1.1474103e-03 2.6001123e-04 1.0280885e-05 ... 5.6549982e-07 5.5701645e-07
 9.5683326e-08]",embedding_isic_subset7
28,"[2.8992807e-05 3.0011028e-05 2.0210584e-06 ... 1.5668050e-08 5.4011377e-08
 7.0756371e-08]",embedding_sti10_subset9
29,"[8.2741550e-05 3.2912561e-05 6.3115276e-06 ... 9.5696308e-08 1.3804164e-07
 2.3218698e-08]",embedding_sti10_subset34
30,"[3.0134557e-04 5.1075278e-04 2.1200143e-04 ... 7.0829742e-07 3.6704002e-06
 2.7523473e-08]",embedding_pcam-middle_subset69
31,"[1.2955094e-05 3.6846202e-06 5.9607964e-07 ... 2.1181860e-08 1.3755074e-08
 1.5139511e-08]",embedding_stl10_subset65
